	projectID	condition	reference_condition	title	geo_accession	status	submission_date	last_update_date	full_name	passed_replicate_correlations
GSM2497791	6268	pantothenic acid starvation	low nitrogen	PANTO_T2_1	GSM2497791	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:pantothenic acid starvation	True
GSM2497792	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T3_2	GSM2497792	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497793	6268	nitrogen starvation	low nitrogen	MS71_T1_3	GSM2497793	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497794	6268	oleic acid starvation	low nitrogen	TWN_T1_1	GSM2497794	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497795	6268	nitrogen starvation	low nitrogen	MS71_T2_1	GSM2497795	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497796	6268	oleic acid starvation	low nitrogen	TWN_T4_1	GSM2497796	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497797	6268	nicotinic acid starvation	low nitrogen	NICO_T3_1	GSM2497797	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nicotinic acid starvation	True
GSM2497798	6268	oleic acid starvation	low nitrogen	TWN_T1_3	GSM2497798	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497799	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T1_1	GSM2497799	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497800	6268	pantothenic acid starvation	low nitrogen	PANTO_T2_3	GSM2497800	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:pantothenic acid starvation	True
GSM2497801	6268	ergosterol starvation	low nitrogen	ERGO_T2_3	GSM2497801	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:ergosterol starvation	True
GSM2497802	6268	nitrogen starvation	low nitrogen	MS71_T4_1	GSM2497802	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497803	6268	ergosterol starvation	low nitrogen	ERGO_T1_3	GSM2497803	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:ergosterol starvation	True
GSM2497804	6268	oleic acid starvation	low nitrogen	TWN_T3_1	GSM2497804	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497805	6268	ergosterol starvation	low nitrogen	ERGO_T4_1	GSM2497805	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:ergosterol starvation	True
GSM2497806	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T3_3	GSM2497806	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497808	6268	nitrogen starvation	low nitrogen	MS71_T3_1	GSM2497808	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497809	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T2_1	GSM2497809	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497810	6268	nicotinic acid starvation	low nitrogen	NICO_T3_2	GSM2497810	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nicotinic acid starvation	True
